pmt_id,position_x,position_y,position_z,type_int,type_name
404,8278.289999999999,717.55,1161.16,1,NORMAL
405,8188.8099999999995,728.27,1664.6299999999999,1,NORMAL
406,8248.369999999999,576.11,1418.6799999999998,1,NORMAL
407,7852.84,628.75,2993.56,1,NORMAL
408,7761.54,503.27,3244.8599999999997,1,NORMAL
409,7825.030000000001,920.4200000000001,2955.75,1,NORMAL
410,7733.83,794.64,3206.8599999999997,1,NORMAL
411,7642.530000000001,669.1500000000001,3458.15,1,NORMAL
412,7797.32,1211.79,2917.75,1,NORMAL
413,7706.0199999999995,1086.3,3169.04,1,NORMAL
414,7614.8099999999995,960.5200000000001,3420.1499999999996,1,NORMAL
415,7523.51,835.0400000000001,3671.44,1,NORMAL
416,7769.51,1503.45,2879.93,1,NORMAL
417,7678.3,1377.67,3131.04,1,NORMAL
418,7587.0,1252.19,3382.33,1,NORMAL
419,7495.8,1126.6599999999999,3633.39,1,NORMAL
420,7404.5,1000.92,3884.74,1,NORMAL
421,7650.49,1669.34,3093.2200000000003,1,NORMAL
422,7559.29,1543.56,3344.33,1,NORMAL
423,7467.99,1418.07,3595.63,1,NORMAL
424,7376.78,1292.54,3846.6899999999996,1,NORMAL
425,7531.4800000000005,1835.23,3306.52,1,NORMAL
426,7440.27,1709.4499999999998,3557.6299999999997,1,NORMAL
427,7348.97,1583.9599999999998,3808.92,1,NORMAL
428,7941.73,2248.91,1640.8799999999999,1,NORMAL
429,7965.34,1637.17,2126.19,1,NORMAL
430,7986.65,1799.25,1880.3,1,NORMAL
431,8007.960000000001,1961.34,1634.4,1,NORMAL
432,8053.200000000001,1511.63,1873.6699999999998,1,NORMAL
433,8074.51,1673.71,1627.78,1,NORMAL
434,8140.74,1386.14,1621.3,1,NORMAL
435,7761.61,2677.09,1901.15,1,NORMAL
436,7852.849999999999,2396.19,1901.29,1,NORMAL
437,7642.5599999999995,2793.64,2145.11,1,NORMAL
438,7733.85,2512.82,2144.9100000000003,1,NORMAL
439,7825.09,2231.91,2145.05,1,NORMAL
440,7523.57,2910.27,2388.73,1,NORMAL
441,7614.8099999999995,2629.3599999999997,2388.87,1,NORMAL
442,7706.1,2348.54,2388.67,1,NORMAL
443,7797.34,2067.63,2388.81,1,NORMAL
444,7404.52,3026.81,2632.69,1,NORMAL
445,7495.81,2745.99,2632.4900000000002,1,NORMAL
446,7587.05,2465.0899999999997,2632.6299999999997,1,NORMAL
447,7678.25,2184.39,2632.6299999999997,1,NORMAL
448,7769.58,1903.3600000000001,2632.57,1,NORMAL
449,7376.77,2862.54,2876.45,1,NORMAL
450,7468.06,2581.71,2876.25,1,NORMAL
451,7559.299999999999,2300.81,2876.3900000000003,1,NORMAL
452,7650.5,2020.11,2876.3900000000003,1,NORMAL
453,7349.009999999999,2698.26,3120.21,1,NORMAL
454,7440.299999999999,2417.43,3120.0099999999998,1,NORMAL
455,7531.54,2136.5299999999997,3120.1499999999996,1,NORMAL
456,7409.120000000001,3204.29,2378.51,1,NORMAL
457,7631.4800000000005,3120.1400000000003,1634.22,1,NORMAL
458,7518.97,3238.75,1880.12,1,NORMAL
459,7406.459999999999,3357.3700000000003,2126.01,1,NORMAL
460,7516.21,3391.96,1627.8200000000002,1,NORMAL
461,7403.7,3510.57,1873.7200000000003,1,NORMAL
462,7400.789999999999,3663.57,1621.16,1,NORMAL
463,6575.04,4155.0599999999995,3244.69,1,NORMAL
464,6722.77,4106.95,2993.51,1,NORMAL
465,6576.35,3950.7200000000003,3458.04,1,NORMAL
466,6723.93,3902.9199999999996,3206.7700000000004,1,NORMAL
467,6871.65,3854.81,2955.59,1,NORMAL
468,6577.51,3746.6899999999996,3671.3,1,NORMAL
469,6725.2300000000005,3698.58,3420.12,1,NORMAL
470,6872.8099999999995,3650.7799999999997,3168.85,1,NORMAL
471,7020.53,3602.67,2917.67,1,NORMAL
472,6578.82,3542.3500000000004,3884.6499999999996,1,NORMAL
473,6726.39,3494.5499999999997,3633.38,1,NORMAL
474,6874.120000000001,3446.44,3382.2000000000003,1,NORMAL
475,7021.69,3398.49,3131.14,1,NORMAL
476,7169.42,3350.5299999999997,2879.75,1,NORMAL
477,6727.7,3290.21,3846.73,1,NORMAL
478,6875.27,3242.41,3595.46,1,NORMAL
479,7023.0,3194.3,3344.2799999999997,1,NORMAL
480,7170.57,3146.35,3093.2200000000003,1,NORMAL
481,6876.58,3038.07,3808.8099999999995,1,NORMAL
482,7024.15,2990.27,3557.54,1,NORMAL
483,7171.88,2942.16,3306.36,1,NORMAL
484,6696.49,4294.35,2745.3199999999997,1,NORMAL
485,7131.54,3735.7200000000003,2415.2000000000003,1,NORMAL
486,6976.900000000001,3984.82,2450.21,1,NORMAL
487,6822.26,4233.92,2485.21,1,NORMAL
488,7102.870000000001,3924.66,2189.99,1,NORMAL
489,6948.23,4173.76,2224.99,1,NORMAL
